1,England,PremierLeague,1650000000,414,540700000,388,-1111000000,2018
2,Italy,SerieA,1280000000,1328,962140000,973,-321400000,2018
3,Spain,LaLiga,978420000,436,857550000,440,-120870000,2018
4,France,Ligue1,663340000,388,936900000,381,273560000,2018
5,Germany,Bundesliga,560700000,315,580340000,297,19640000,2018
6,China,ChineseSuperLeague,282470000,176,76400000,157,-206070000,2018
7,England,Championship,230380000,530,348490000,569,118110000,2018
8,SaudiArabia,SaudiProfessionalLeague,180020000,308,7120000,367,-172900000,2018
9,Brazil,CampeonatoBrasileiroSérieA,127990000,690,342060000,695,214070000,2018
10,Russia,PremierLigaRussia,127630000,304,157200000,302,29570000,2018
11,Belgium,JupilerProLeague,113800000,390,153000000,390,39200000,2018
12,Portugal,LigaNOS,104680000,541,309770000,499,205090000,2018
13,Netherlands,Eredivisie,92110000,306,110000000,336,17900000,2018
14,Turkey,SüperLig,89510000,439,134690000,439,45180000,2018
15,Argentina,PrimeraDivisión,85830000,569,200830000,622,114990000,2018
16,Mexico,LigaMXApertura,77510000,158,62990000,192,-14520000,2018
17,UnitedStates,MajorLeagueSoccer,68940000,342,58390000,394,-10550000,2018
18,Egypt,EgyptianPremierLeague,68810000,492,37760000,498,-31050000,2018
19,Ukraine,PremierLigaUkraine,67030000,269,93040000,277,26010000,2018
20,Italy,SerieB,49690000,840,84250000,821,34560000,2018
21,Qatar,QatarStarsLeague,49490000,166,6280000,257,-43210000,2018
22,Germany,2.Bundesliga,39260000,278,109500000,307,70240000,2018
23,Scotland,ScottishPremiership,26950000,244,39360000,238,12410000,2018
24,Spain,LaLiga2,24220000,521,85980000,598,61760000,2018
25,Switzerland,SuperLeague,23780000,216,80930000,192,57150000,2018
33,Croatia,1.HNL,12590000,336,80900000,321,68310000,2018
